"POS","RIDER","COUNTRY","POINTS","STAGE"
105,"Adrien Petit","FRA",8,21
106,"Reinardt Janse Van Rensburg","RSA",8,21
107,"Franck Bonnamour","FRA",7,21
108,"Owain Doull","GBR",7,21
109,"Ion Izagirre","ESP",6,21
110,"Jonas Rutsch","GER",6,21
111,"Simone Velasco","ITA",5,21
112,"Pierre-Luc Perichon","FRA",4,21
113,"Anthony Turgis","FRA",4,21
114,"Joseph Lloyd Dombrowski","USA",3,21
115,"Kévin Geniets","LUX",3,21
116,"Connor Swift","GBR",3,21
117,"Cyril Lemoine","FRA",3,21
118,"Andrea Bagioli","ITA",2,21
119,"Maciej Bodnar","POL",2,21
120,"Marc Hirschi","SWI",1,21
1,"Wout Van Aert","BEL",107,3
2,"Fabio Jakobsen","NED",90,3
3,"Dylan Groenewegen","NED",60,3
4,"Peter Sagan","SVK",54,3
5,"Magnus Cort Nielsen","DEN",42,3
6,"Christophe Laporte","FRA",37,3
7,"Caleb Ewan","AUS",37,3
8,"Jasper Philipsen","BEL",36,3
9,"Mads Pedersen","DEN",35,3
10,"Danny Van Poppel","NED",26,3
11,"Sven Erik Bystrøm","NOR",24,3
12,"Jérémy Lecroq","FRA",24,3
13,"Yves Lampaert","BEL",22,3
14,"Hugo Hofstetter","FRA",17,3
15,"Michael Morkov","DEN",16,3
16,"Tadej Pogacar","SLO",15,3
17,"Filippo Ganna","ITA",13,3
18,"Alexander Kristoff","NOR",12,3
19,"Alberto Dainese","ITA",12,3
20,"Mathieu Van Der Poel","NED",11,3
21,"Jonas Vingegaard","DEN",9,3
22,"Primoz Roglic","SLO",8,3
23,"Reinardt Janse Van Rensburg","RSA",8,3
24,"Luca Mozzato","ITA",8,3
25,"Stefan Küng","SWI",7,3
26,"Jasper Stuyven","BEL",7,3
27,"Bauke Mollema","NED",7,3
28,"Marc Soler","ESP",7,3
29,"Maximilian Walscheid","GER",7,3
30,"Edvald Boasson Hagen","NOR",6,3
31,"Dylan Teuns","BEL",6,3
32,"Mikkel Bjerg","DEN",6,3
33,"Marco Haller","AUT",5,3
34,"David Gaudu","FRA",4,3
35,"Bob Jungels","LUX",4,3
36,"Adam Yates","GBR",3,3
37,"Kévin Geniets","LUX",3,3
38,"Vegard Stake Laengen","NOR",3,3
39,"Nathan van Hooydonck","BEL",2,3
40,"Alexander Krieger","GER",2,3
41,"Thomas Pidcock","GBR",1,3
1,"Wout Van Aert","BEL",170,4
2,"Fabio Jakobsen","NED",109,4
3,"Peter Sagan","SVK",80,4
4,"Christophe Laporte","FRA",66,4
5,"Jasper Philipsen","BEL",66,4
6,"Dylan Groenewegen","NED",60,4
7,"Magnus Cort Nielsen","DEN",59,4
8,"Caleb Ewan","AUS",45,4
9,"Mads Pedersen","DEN",40,4
10,"Danny Van Poppel","NED",38,4
11,"Alexander Kristoff","NOR",30,4
12,"Hugo Hofstetter","FRA",27,4
13,"Michael Morkov","DEN",27,4
14,"Sven Erik Bystrøm","NOR",24,4
15,"Jérémy Lecroq","FRA",24,4
16,"Yves Lampaert","BEL",22,4
17,"Luca Mozzato","ITA",22,4
18,"Anthony Perez","FRA",20,4
19,"Alberto Dainese","ITA",18,4
20,"Tadej Pogacar","SLO",16,4
21,"Filippo Ganna","ITA",13,4
22,"Mathieu Van Der Poel","NED",11,4
23,"Jonas Vingegaard","DEN",9,4
24,"Primoz Roglic","SLO",8,4
25,"Michael Matthews","AUS",8,4
26,"Reinardt Janse Van Rensburg","RSA",8,4
27,"Stefan Küng","SWI",7,4
28,"Jasper Stuyven","BEL",7,4
29,"Bauke Mollema","NED",7,4
30,"Marc Soler","ESP",7,4
31,"Benjamin Thomas","FRA",7,4
32,"Brent Van Moer","BEL",7,4
33,"Maximilian Walscheid","GER",7,4
34,"Florian Vermeersch","BEL",6,4
35,"Edvald Boasson Hagen","NOR",6,4
36,"Dylan Teuns","BEL",6,4
37,"Mikkel Bjerg","DEN",6,4
38,"Marco Haller","AUT",5,4
39,"Daniel Oss","ITA",5,4
40,"David Gaudu","FRA",4,4
41,"Bob Jungels","LUX",4,4
42,"Tim Wellens","BEL",4,4
43,"Adam Yates","GBR",3,4
44,"Kévin Geniets","LUX",3,4
45,"Andrea Pasqualon","ITA",3,4
46,"Nils Politt","GER",3,4
47,"Vegard Stake Laengen","NOR",3,4
48,"Alexander Krieger","GER",2,4
49,"Fred Wright","GBR",2,4
50,"Nathan van Hooydonck","BEL",2,4
51,"Maciej Bodnar","POL",2,4
52,"Thomas Pidcock","GBR",1,4
1,"Wout Van Aert","BEL",178,5
2,"Fabio Jakobsen","NED",126,5
3,"Magnus Cort Nielsen","DEN",86,5
4,"Peter Sagan","SVK",86,5
5,"Jasper Philipsen","BEL",76,5
6,"Christophe Laporte","FRA",73,5
7,"Simon Clarke","AUS",67,5
8,"Dylan Groenewegen","NED",60,5
9,"Taco Van Der Hoorn","NED",50,5
10,"Caleb Ewan","AUS",45,5
11,"Edvald Boasson Hagen","NOR",41,5
12,"Mads Pedersen","DEN",40,5
13,"Danny Van Poppel","NED",38,5
14,"Alexander Kristoff","NOR",30,5
15,"Luca Mozzato","ITA",29,5
16,"Neilson Powless","USA",28,5
17,"Tadej Pogacar","SLO",28,5
18,"Hugo Hofstetter","FRA",27,5
19,"Michael Morkov","DEN",27,5
20,"Sven Erik Bystrøm","NOR",24,5
21,"Alberto Dainese","ITA",24,5
22,"Jérémy Lecroq","FRA",24,5
23,"Yves Lampaert","BEL",22,5
24,"Jasper Stuyven","BEL",21,5
25,"Anthony Perez","FRA",20,5
26,"Filippo Ganna","ITA",13,5
27,"Alexis Gougeard","FRA",13,5
28,"Maximilian Walscheid","GER",12,5
29,"Mathieu Van Der Poel","NED",11,5
30,"Jonas Vingegaard","DEN",9,5
31,"Primoz Roglic","SLO",8,5
32,"Reinardt Janse Van Rensburg","RSA",8,5
33,"Michael Matthews","AUS",8,5
34,"Stefan Küng","SWI",7,5
35,"Benjamin Thomas","FRA",7,5
36,"Marc Soler","ESP",7,5
37,"Bauke Mollema","NED",7,5
38,"Brent Van Moer","BEL",7,5
39,"Florian Vermeersch","BEL",6,5
40,"Dylan Teuns","BEL",6,5
41,"Mikkel Bjerg","DEN",6,5
42,"Steven Kruijswijk","NED",5,5
43,"Marco Haller","AUT",5,5
44,"Daniel Oss","ITA",5,5
45,"Maximilian Schachmann","GER",4,5
46,"David Gaudu","FRA",4,5
47,"Bob Jungels","LUX",4,5
48,"Tim Wellens","BEL",4,5
49,"Anthony Turgis","FRA",4,5
50,"Adam Yates","GBR",3,5
51,"Nairo Quintana","COL",3,5
52,"Andrea Pasqualon","ITA",3,5
53,"Nils Politt","GER",3,5
54,"Kévin Geniets","LUX",3,5
55,"Owain Doull","GBR",3,5
56,"Vegard Stake Laengen","NOR",3,5
57,"Patrick Konrad","AUT",2,5
58,"Alexander Krieger","GER",2,5
59,"Fred Wright","GBR",2,5
60,"Nathan van Hooydonck","BEL",2,5
61,"Pierre-Roger Latour","FRA",2,5
62,"Maciej Bodnar","POL",2,5
63,"Thomas Pidcock","GBR",1,5
64,"Guillaume Van Keirsbulck","BEL",1,5
1,"Wout Van Aert","BEL",198,6
2,"Fabio Jakobsen","NED",137,6
3,"Jasper Philipsen","BEL",89,6
4,"Magnus Cort Nielsen","DEN",86,6
5,"Peter Sagan","SVK",86,6
6,"Christophe Laporte","FRA",83,6
7,"Tadej Pogacar","SLO",78,6
8,"Simon Clarke","AUS",67,6
9,"Dylan Groenewegen","NED",60,6
10,"Taco Van Der Hoorn","NED",50,6
11,"Caleb Ewan","AUS",45,6
12,"Edvald Boasson Hagen","NOR",41,6
13,"Mads Pedersen","DEN",40,6
14,"Michael Matthews","AUS",38,6
15,"Danny Van Poppel","NED",38,6
16,"Michael Morkov","DEN",36,6
17,"Neilson Powless","USA",31,6
18,"Alexander Kristoff","NOR",30,6
19,"Luca Mozzato","ITA",29,6
20,"Hugo Hofstetter","FRA",27,6
21,"Sven Erik Bystrøm","NOR",24,6
22,"David Gaudu","FRA",24,6
23,"Alberto Dainese","ITA",24,6
24,"Jérémy Lecroq","FRA",24,6
25,"Yves Lampaert","BEL",22,6
26,"Jonas Vingegaard","DEN",21,6
27,"Jasper Stuyven","BEL",21,6
28,"Anthony Perez","FRA",20,6
29,"Dylan Teuns","BEL",20,6
30,"Thomas Pidcock","GBR",19,6
31,"Nairo Quintana","COL",19,6
32,"Jakob Fuglsang","DEN",17,6
33,"Primoz Roglic","SLO",16,6
34,"Alexis Gougeard","FRA",13,6
35,"Filippo Ganna","ITA",13,6
36,"Maximilian Walscheid","GER",12,6
37,"Mathieu Van Der Poel","NED",11,6
38,"Daniel Martinez","COL",10,6
39,"Nils Politt","GER",10,6
40,"Adam Yates","GBR",8,6
41,"Adrien Petit","FRA",8,6
42,"Reinardt Janse Van Rensburg","RSA",8,6
43,"Vegard Stake Laengen","NOR",8,6
44,"Mikkel Bjerg","DEN",8,6
45,"Romain Bardet","FRA",7,6
46,"Benjamin Thomas","FRA",7,6
47,"Bauke Mollema","NED",7,6
48,"Stefan Küng","SWI",7,6
49,"Marc Soler","ESP",7,6
50,"Brent Van Moer","BEL",7,6
51,"Enric Mas","ESP",6,6
52,"Andrea Pasqualon","ITA",6,6
53,"Florian Vermeersch","BEL",6,6
54,"Pierre-Roger Latour","FRA",6,6
55,"Jonas Rutsch","GER",6,6
56,"Steven Kruijswijk","NED",5,6
57,"Guillaume Van Keirsbulck","BEL",5,6
58,"Marco Haller","AUT",5,6
59,"Maximilian Schachmann","GER",4,6
60,"Bob Jungels","LUX",4,6
61,"Tim Wellens","BEL",4,6
62,"Anthony Turgis","FRA",4,6
63,"Kévin Geniets","LUX",3,6
64,"Owain Doull","GBR",3,6
65,"Geraint Thomas","GBR",2,6
66,"Patrick Konrad","AUT",2,6
67,"Alexander Krieger","GER",2,6
68,"Fred Wright","GBR",2,6
69,"Nathan van Hooydonck","BEL",2,6
70,"Maciej Bodnar","POL",2,6
71,"Brandon McNulty","USA",1,6
1,"Wout Van Aert","BEL",203,7
2,"Fabio Jakobsen","NED",140,7
3,"Tadej Pogacar","SLO",108,7
4,"Jasper Philipsen","BEL",89,7
5,"Christophe Laporte","FRA",87,7
6,"Magnus Cort Nielsen","DEN",86,7
7,"Peter Sagan","SVK",86,7
8,"Simon Clarke","AUS",67,7
9,"Dylan Groenewegen","NED",60,7
10,"Mads Pedersen","DEN",60,7
11,"Taco Van Der Hoorn","NED",50,7
12,"Jonas Vingegaard","DEN",46,7
13,"Caleb Ewan","AUS",45,7
14,"Edvald Boasson Hagen","NOR",41,7
15,"David Gaudu","FRA",39,7
16,"Primoz Roglic","SLO",38,7
17,"Michael Matthews","AUS",38,7
18,"Michael Morkov","DEN",38,7
19,"Danny Van Poppel","NED",38,7
20,"Neilson Powless","USA",31,7
21,"Alexander Kristoff","NOR",30,7
22,"Dylan Teuns","BEL",29,7
23,"Luca Mozzato","ITA",29,7
24,"Lennard Kämna","GER",27,7
25,"Hugo Hofstetter","FRA",27,7
26,"Sven Erik Bystrøm","NOR",24,7
27,"Alberto Dainese","ITA",24,7
28,"Jérémy Lecroq","FRA",24,7
29,"Yves Lampaert","BEL",22,7
30,"Thomas Pidcock","GBR",22,7
31,"Nairo Quintana","COL",21,7
32,"Jasper Stuyven","BEL",21,7
33,"Anthony Perez","FRA",20,7
34,"Geraint Thomas","GBR",19,7
35,"Enric Mas","ESP",19,7
36,"Romain Bardet","FRA",18,7
37,"Adam Yates","GBR",17,7
38,"Jakob Fuglsang","DEN",17,7
39,"Simon Geschke","GER",17,7
40,"Daniel Martinez","COL",16,7
41,"Cyril Barthe","FRA",15,7
42,"Imanol Erviti","ESP",13,7
43,"Alexis Gougeard","FRA",13,7
44,"Filippo Ganna","ITA",13,7
45,"Maximilian Walscheid","GER",12,7
46,"Maximilian Schachmann","GER",11,7
47,"Luke Durbridge","AUS",11,7
48,"Mathieu Van Der Poel","NED",11,7
49,"Nils Politt","GER",10,7
50,"Giulio Ciccone","ITA",10,7
51,"Adrien Petit","FRA",8,7
52,"Reinardt Janse Van Rensburg","RSA",8,7
53,"Vegard Stake Laengen","NOR",8,7
54,"Mikkel Bjerg","DEN",8,7
55,"Benjamin Thomas","FRA",7,7
56,"Bauke Mollema","NED",7,7
57,"Sepp Kuss","USA",7,7
58,"Stefan Küng","SWI",7,7
59,"Marc Soler","ESP",7,7
60,"Brent Van Moer","BEL",7,7
61,"Andrea Pasqualon","ITA",6,7
62,"Pierre-Roger Latour","FRA",6,7
63,"Florian Vermeersch","BEL",6,7
64,"Jonas Rutsch","GER",6,7
65,"Kasper Asgreen","DEN",6,7
66,"Rigoberto Uran","COL",5,7
67,"Steven Kruijswijk","NED",5,7
68,"Marco Haller","AUT",5,7
69,"Guillaume Van Keirsbulck","BEL",5,7
70,"Guillaume Martin","FRA",4,7
71,"Bob Jungels","LUX",4,7
72,"Tim Wellens","BEL",4,7
73,"Anthony Turgis","FRA",4,7
74,"Kévin Geniets","LUX",3,7
75,"Owain Doull","GBR",3,7
76,"Patrick Konrad","AUT",2,7
77,"Fred Wright","GBR",2,7
78,"Alexander Krieger","GER",2,7
79,"Nathan van Hooydonck","BEL",2,7
80,"Maciej Bodnar","POL",2,7
81,"Brandon McNulty","USA",1,7
82,"Florian Senechal","FRA",NA,7
1,"Wout Van Aert","BEL",264,8
2,"Fabio Jakobsen","NED",149,8
3,"Tadej Pogacar","SLO",128,8
4,"Jasper Philipsen","BEL",102,8
5,"Christophe Laporte","FRA",97,8
6,"Magnus Cort Nielsen","DEN",86,8
7,"Peter Sagan","SVK",86,8
8,"Michael Matthews","AUS",68,8
9,"Simon Clarke","AUS",67,8
10,"Dylan Groenewegen","NED",60,8
11,"Mads Pedersen","DEN",60,8
12,"Jonas Vingegaard","DEN",56,8
13,"Taco Van Der Hoorn","NED",50,8
14,"Michael Morkov","DEN",46,8
15,"Caleb Ewan","AUS",45,8
16,"David Gaudu","FRA",44,8
17,"Primoz Roglic","SLO",41,8
18,"Edvald Boasson Hagen","NOR",41,8
19,"Danny Van Poppel","NED",38,8
20,"Neilson Powless","USA",31,8
21,"Alexander Kristoff","NOR",30,8
22,"Thomas Pidcock","GBR",29,8
23,"Dylan Teuns","BEL",29,8
24,"Luca Mozzato","ITA",29,8
25,"Lennard Kämna","GER",27,8
26,"Hugo Hofstetter","FRA",27,8
27,"Geraint Thomas","GBR",25,8
28,"Sven Erik Bystrøm","NOR",24,8
29,"Alberto Dainese","ITA",24,8
30,"Jérémy Lecroq","FRA",24,8
31,"Nairo Quintana","COL",23,8
32,"Yves Lampaert","BEL",22,8
33,"Fred Wright","GBR",22,8
34,"Jasper Stuyven","BEL",21,8
35,"Anthony Perez","FRA",20,8
36,"Enric Mas","ESP",19,8
37,"Benjamin Thomas","FRA",19,8
38,"Romain Bardet","FRA",18,8
39,"Andreas Lorentz Kron","DEN",18,8
40,"Adam Yates","GBR",17,8
41,"Jakob Fuglsang","DEN",17,8
42,"Simon Geschke","GER",17,8
43,"Frederik Frison","BEL",17,8
44,"Daniel Martinez","COL",16,8
45,"Alberto Bettiol","ITA",16,8
46,"Mattia Cattaneo","ITA",15,8
47,"Cyril Barthe","FRA",15,8
48,"Alexander Vlasov","RUS",14,8
49,"Imanol Erviti","ESP",13,8
50,"Alexis Gougeard","FRA",13,8
51,"Filippo Ganna","ITA",13,8
52,"Bob Jungels","LUX",12,8
53,"Steven Kruijswijk","NED",12,8
54,"Maximilian Walscheid","GER",12,8
55,"Mikkel Bjerg","DEN",12,8
56,"Maximilian Schachmann","GER",11,8
57,"Luke Durbridge","AUS",11,8
58,"Mathieu Van Der Poel","NED",11,8
59,"Nils Politt","GER",10,8
60,"Marc Soler","ESP",10,8
61,"Giulio Ciccone","ITA",10,8
62,"Guillaume Martin","FRA",8,8
63,"Adrien Petit","FRA",8,8
64,"Reinardt Janse Van Rensburg","RSA",8,8
65,"Sepp Kuss","USA",7,8
66,"Bauke Mollema","NED",7,8
67,"Stefan Küng","SWI",7,8
68,"Brent Van Moer","BEL",7,8
69,"Nathan van Hooydonck","BEL",7,8
70,"Andrea Pasqualon","ITA",6,8
71,"Pierre-Roger Latour","FRA",6,8
72,"Florian Vermeersch","BEL",6,8
73,"Jonas Rutsch","GER",6,8
74,"Christopher Juul Jensen","DEN",6,8
75,"Kasper Asgreen","DEN",6,8
76,"Rigoberto Uran","COL",5,8
77,"Marco Haller","AUT",5,8
78,"Guillaume Van Keirsbulck","BEL",5,8
79,"Tim Wellens","BEL",4,8
80,"Anthony Turgis","FRA",4,8
81,"Kévin Geniets","LUX",3,8
82,"Owain Doull","GBR",3,8
83,"Patrick Konrad","AUT",2,8
84,"Alexander Krieger","GER",2,8
85,"Maciej Bodnar","POL",2,8
86,"Brandon McNulty","USA",1,8
87,"Florian Senechal","FRA",1,8
88,"Marc Hirschi","SWI",1,8
1,"Wout Van Aert","BEL",284,9
2,"Fabio Jakobsen","NED",149,9
3,"Tadej Pogacar","SLO",139,9
4,"Jasper Philipsen","BEL",102,9
5,"Christophe Laporte","FRA",97,9
6,"Magnus Cort Nielsen","DEN",86,9
7,"Peter Sagan","SVK",86,9
8,"Michael Matthews","AUS",68,9
9,"Simon Clarke","AUS",67,9
10,"Jonas Vingegaard","DEN",66,9
11,"Dylan Groenewegen","NED",60,9
12,"Mads Pedersen","DEN",60,9
13,"Taco Van Der Hoorn","NED",50,9
14,"David Gaudu","FRA",47,9
15,"Michael Morkov","DEN",46,9
16,"Caleb Ewan","AUS",45,9
17,"Bob Jungels","LUX",43,9
18,"Primoz Roglic","SLO",43,9
19,"Edvald Boasson Hagen","NOR",41,9
20,"Danny Van Poppel","NED",38,9
21,"Geraint Thomas","GBR",34,9
22,"Neilson Powless","USA",31,9
23,"Thomas Pidcock","GBR",30,9
24,"Alexander Kristoff","NOR",30,9
25,"Nairo Quintana","COL",29,9
26,"Dylan Teuns","BEL",29,9
27,"Luca Mozzato","ITA",29,9
28,"Lennard Kämna","GER",27,9
29,"Simon Geschke","GER",27,9
30,"Nils Politt","GER",27,9
31,"Hugo Hofstetter","FRA",27,9
32,"Enric Mas","ESP",26,9
33,"Adam Yates","GBR",25,9
34,"Sven Erik Bystrøm","NOR",24,9
35,"Alberto Dainese","ITA",24,9
36,"Jérémy Lecroq","FRA",24,9
37,"Yves Lampaert","BEL",22,9
38,"Fred Wright","GBR",22,9
39,"Romain Bardet","FRA",22,9
40,"Jasper Stuyven","BEL",21,9
41,"Anthony Perez","FRA",20,9
42,"Benjamin Thomas","FRA",19,9
43,"Andreas Lorentz Kron","DEN",18,9
44,"Jakob Fuglsang","DEN",17,9
45,"Jonathan Castroviejo","ESP",17,9
46,"Frederik Frison","BEL",17,9
47,"Daniel Martinez","COL",16,9
48,"Alberto Bettiol","ITA",16,9
49,"Thibaut Pinot","FRA",15,9
50,"Luis Leon Sanchez","ESP",15,9
51,"Carlos Verona","ESP",15,9
52,"Mattia Cattaneo","ITA",15,9
53,"Cyril Barthe","FRA",15,9
54,"Alexander Vlasov","RUS",14,9
55,"Hugo Houle","CAN",13,9
56,"Pierre-Roger Latour","FRA",13,9
57,"Imanol Erviti","ESP",13,9
58,"Alexis Gougeard","FRA",13,9
59,"Filippo Ganna","ITA",13,9
60,"Steven Kruijswijk","NED",12,9
61,"Maximilian Walscheid","GER",12,9
62,"Mikkel Bjerg","DEN",12,9
63,"Maximilian Schachmann","GER",11,9
64,"Luke Durbridge","AUS",11,9
65,"Mathieu Van Der Poel","NED",11,9
66,"Marc Soler","ESP",10,9
67,"Giulio Ciccone","ITA",10,9
68,"Benoit Cosnefroy","FRA",9,9
69,"Patrick Konrad","AUT",8,9
70,"Guy Niv","ISR",8,9
71,"Adrien Petit","FRA",8,9
72,"Reinardt Janse Van Rensburg","RSA",8,9
73,"Sepp Kuss","USA",7,9
74,"Bauke Mollema","NED",7,9
75,"Stefan Küng","SWI",7,9
76,"Nathan van Hooydonck","BEL",7,9
77,"Brent Van Moer","BEL",7,9
78,"Rigoberto Uran","COL",6,9
79,"Andrea Pasqualon","ITA",6,9
80,"Florian Vermeersch","BEL",6,9
81,"Jonas Rutsch","GER",6,9
82,"Christopher Juul Jensen","DEN",6,9
83,"Damiano Caruso","ITA",5,9
84,"Kobe Goossens","BEL",5,9
85,"Marco Haller","AUT",5,9
86,"Guillaume Van Keirsbulck","BEL",5,9
87,"Ion Izagirre","ESP",4,9
88,"Tim Wellens","BEL",4,9
89,"Anthony Turgis","FRA",4,9
90,"Kévin Geniets","LUX",3,9
91,"Joseph Lloyd Dombrowski","USA",3,9
92,"Owain Doull","GBR",3,9
93,"Alexander Krieger","GER",2,9
94,"Maciej Bodnar","POL",2,9
95,"Brandon McNulty","USA",1,9
96,"Florian Senechal","FRA",1,9
97,"Marc Hirschi","SWI",1,9
